Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",2013494,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Gucci Gang","Lil Pump",1444653,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
3,"I Fall Apart","Post Malone",1143988,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
4,Havana,"Camila Cabello",1091737,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
5,"Too Good At Goodbyes","Sam Smith",1027711,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
6,"No Limit",G-Eazy,926717,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv
7,1-800-273-8255,Logic,897493,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
8,"Plain Jane","A$AP Ferg",882997,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
9,"Bank Account","21 Savage",881818,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
10,"Ric Flair Drip",Offset,868983,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
11,"What Lovers Do (feat. SZA)","Maroon 5",804290,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
12,"Young Dumb & Broke",Khalid,796506,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
13,"Candy Paint","Post Malone",781446,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
14,"Let You Down",NF,780766,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
15,MotorSport,Migos,770232,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
16,Perfect,"Ed Sheeran",765462,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
17,"XO TOUR Llif3","Lil Uzi Vert",765381,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
18,"I Get The Bag (feat. Migos)","Gucci Mane",722654,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
19,"Bodak Yellow","Cardi B",710410,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
20,"Walk On Water (feat. Beyoncé)",Eminem,705843,https://open.spotify.com/track/5b2QnYcT9rQIkhRWt4HztQ
21,Wolves,"Selena Gomez",701204,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
22,"Ghostface Killers","21 Savage",688498,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub
23,"New Rules","Dua Lipa",675295,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
24,Congratulations,"Post Malone",670872,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
25,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",666946,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
26,Silence,Marshmello,664999,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
27,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",634796,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
28,"Bad At Love",Halsey,602416,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
29,HUMBLE.,"Kendrick Lamar",601958,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
30,Unforgettable,"French Montana",584905,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
31,"Jocelyn Flores",XXXTENTACION,574850,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
32,"Butterfly Effect","Travis Scott",570790,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
33,"Sorry Not Sorry","Demi Lovato",553691,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
34,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",545659,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
35,goosebumps,"Travis Scott",539336,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
36,"Feel It Still","Portugal. The Man",532248,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
37,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",517449,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
38,Thunder,"Imagine Dragons",516858,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
39,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,504644,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
40,"Wanted You (feat. Lil Uzi Vert)",NAV,499465,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1
41,Location,Khalid,494232,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
42,"How Long","Charlie Puth",493112,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
43,"Dusk Till Dawn - Radio Edit",ZAYN,487822,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
44,"LOVE. FEAT. ZACARI.","Kendrick Lamar",486857,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
45,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",480823,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
46,"Slippery (feat. Gucci Mane)",Migos,470046,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
47,Betrayed,"Lil Xan",463200,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
48,Pray,"Sam Smith",451793,https://open.spotify.com/track/7DsX5K72fewVGb47qj7Tbg
49,"Rake It Up","Yo Gotti",451286,https://open.spotify.com/track/4knL4iPxPOZjQzTUlELGSY
50,"Go Flex","Post Malone",439026,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
51,"Pick It Up (feat. A$AP Rocky)","Famous Dex",426021,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
52,Stargazing,Kygo,379272,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
53,"Sauce It Up","Lil Uzi Vert",373149,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5
